Date,Price
25-07-2024,1069.65
26-07-2024,1082.80
29-07-2024,1094.10
30-07-2024,1120.45
31-07-2024,1150.55
01-08-2024,1150.05
02-08-2024,1138.25
05-08-2024,1115.95
06-08-2024,1125.90
07-08-2024,1122.00
08-08-2024,1118.25
09-08-2024,1121.40
12-08-2024,1116.20
13-08-2024,1113.30
14-08-2024,1110.15
16-08-2024,1121.50
19-08-2024,1141.40
20-08-2024,1143.10
21-08-2024,1169.90
22-08-2024,1170.00
23-08-2024,1174.25
26-08-2024,1188.20
27-08-2024,1203.75
28-08-2024,1226.10
29-08-2024,1236.50
30-08-2024,1250.40
02-09-2024,1240.75
03-09-2024,1270.55
04-09-2024,1279.60
05-09-2024,1290.05
06-09-2024,1249.25
09-09-2024,1221.70
10-09-2024,1269.05
11-09-2024,1268.35
12-09-2024,1261.85
13-09-2024,1286.80
16-09-2024,1291.30
17-09-2024,1286.05
18-09-2024,1270.85
19-09-2024,1279.25
20-09-2024,1292.30
23-09-2024,1356.00
24-09-2024,1324.55
25-09-2024,1317.80
26-09-2024,1332.15
27-09-2024,1350.70
30-09-2024,1350.30
01-10-2024,1357.50
03-10-2024,1301.25
04-10-2024,1298.90
07-10-2024,1265.90
08-10-2024,1326.60
09-10-2024,1330.45
10-10-2024,1296.00
11-10-2024,1320.05
14-10-2024,1316.85
15-10-2024,1328.40
16-10-2024,1354.20
17-10-2024,1326.25
18-10-2024,1325.35
21-10-2024,1316.15
22-10-2024,1288.05
23-10-2024,1289.85
24-10-2024,1262.50
25-10-2024,1269.35
